pk_comment,text,created,created_at_utc,content_type,codex,code_id,like_count,comment_count,carousel_media_count,view_count,video_duration
2934568188416688818,Summer is over 🥲,2022-09-24 19:30:11,2022-09-24 19:30:11,comment,https://www.instagram.com/p/Ci5rjgnvQKy/,2934568188416688818_143773149,37994,272,5,0,0.0
2930250545891301612,Tití Me Preguntó @badbunnypr,2022-09-18 20:34:03,2022-09-18 20:34:03,comment,https://www.instagram.com/p/CiqV1iqvtjs/,2930250545891301612_143773149,32824,319,2,0,0.0
2928696801448261452,Who wants my creamfields set?!,2022-09-16 17:06:00,2022-09-16 17:06:00,comment,https://www.instagram.com/p/Cik0jlZJXdM/,2928696801448261452_143773149,15627,243,0,57823,15.07
2925904719706530342,Great weekend 📸,2022-09-12 21:03:27,2022-09-12 21:03:27,comment,https://www.instagram.com/p/Cia5tcovyIm/,2925904719706530342_143773149,26560,146,3,0,0.0
2923625091665526587,BIG remixes of Words OUT NOW! Let me know which one is your favorite!!,2022-09-09 17:08:13,2022-09-09 17:08:13,comment,https://www.instagram.com/p/CiSzYflJH87/,2923625091665526587_143773149,8028,213,5,0,0.0
2922939375551336165,"Choose your favorite — 1, 2, 3, 4, 5, or 6? 👇 @alesso throwing down an electrifying set at @creamfieldsofficial feat. a special guest appearance from @zaralarsson performing their collab “Words” together ⚡️🔥

Track IDs are in our Discord server, link in bio for an invite 🎟

Watch the full “Words” performance on Alesso’s YouTube channel and keep an eye out for the remixes dropping Friday 👀",2022-09-08 18:25:49,2022-09-08 18:25:49,comment,https://www.instagram.com/p/CiQXeArvU7l/,2922939375551336165_3562365017,13814,621,6,0,0.0
2922129618212224411,Tao beach was a festival last weekend! Check out the last slide! 😏😎,2022-09-07 15:37:34,2022-09-07 15:37:34,comment,https://www.instagram.com/p/CiNfWfZL_2b/,2922129618212224411_143773149,20966,195,3,0,0.0
2919283391374165614,Somebody to lose your mind with 😵‍💫 watch till the end,2022-09-03 18:06:41,2022-09-03 18:06:41,comment,https://www.instagram.com/p/CiDYMcFjgZu/,2919283391374165614_143773149,31587,318,0,113664,56.216
2915422643478471502,Honor to close down MainStage @creamfieldsofficial Special thanks to @zaralarsson for joining me on stage! 🇬🇧🖤⚡️,2022-08-29 11:07:36,2022-08-29 11:07:36,comment,https://www.instagram.com/p/Ch1qXKaqiNO/,2915422643478471502_143773149,18892,194,5,0,0.0
2913622435526345366,"UK! 🇬🇧 ! UPDATED SET. I’m now playing Sunday!
Bringing a VERY SPECIAL GUEST!
Tune in to the stream!
Song: Words (Sentinel Remix)",2022-08-26 23:59:48,2022-08-26 23:59:48,comment,https://www.instagram.com/p/ChvRCsHKAKW/,2913622435526345366_143773149,13495,187,0,54664,15.07
2911443658126045351,Moments when life didn’t feel real 😳,2022-08-23 21:46:27,2022-08-23 21:46:27,comment,https://www.instagram.com/p/ChnhpTiKrCn/,2911443658126045351_143773149,20950,202,0,106847,11.936
2909192689227209723,Las Vegas! The City of Dreams! @omnianightclub -> omnia.ws/alesso,2022-08-20 19:17:13,2022-08-20 19:17:13,comment,https://www.instagram.com/p/Chfh1ZYjRv7/,2909192689227209723_143773149,9773,108,0,63675,29.954
2904889596767004269,Back 2 back w @martingarrix 2 weeks ago. Should we do this more often?,2022-08-14 20:49:27,2022-08-14 20:49:27,comment,https://www.instagram.com/p/ChQPbKPBmZt/,2904889596767004269_143773149,42514,780,3,0,0.0
2897710011139269927,🌊 of beautiful people,2022-08-05 00:53:09,2022-08-05 00:53:09,comment,https://www.instagram.com/p/Cg2u-cEDKUn/,2897710011139269927_143773149,50798,450,0,226127,22.315
2895310342237143922,My Tomorrowland land set from week 1 is up now on my YouTube page!,2022-08-01 15:32:50,2022-08-01 15:32:50,comment,https://www.instagram.com/p/CguNWqPj0Ny/,2895310342237143922_143773149,55196,475,0,205148,18.855
